X,Y
17.5,0
42.5,0
69,0
92,0
115,0
138.5,0
161.5,0
188,0
209,0
258.5,0
309,0
327,0
350.5,0
400.5,0
420.5,0
448.5,0
495.5,0
518.5,0
544,0
569.5,0
614.5,0
639.5,0.011111111
664,0.022222222
734,0.022222222
763.5,0.022222222
783.5,0.033333333
855.5,0.033333333
906.5,0.033333333
950,0.033333333
1001.5,0.044444444
1074.5,0.055555556
1096,0.055555556
1118.5,0.055555556
1168.5,0.055555556
1241.5,0.055555556
1336,0.055555556
1430,0.055555556
1455,0.055555556
1574.5,0.055555556
1605.5,0.055555556
1745.5,0.055555556
1820.5,0.066666667
1910.5,0.066666667
1956,0.066666667
2003,0.066666667
